pubmed,journal,year,se,z_score
34728190,Archives of physical medicine and rehabilitation,2022,0.0024180469271795346,24.097509220775137
34728190,Archives of physical medicine and rehabilitation,2022,0.19820109232635894,3.7673250874847595
34728190,Archives of physical medicine and rehabilitation,2022,0.10888220218845239,4.980835066935104
34480888,Archives of physical medicine and rehabilitation,2022,0.010630789898104098,-3.8399775474384445
34425090,Archives of physical medicine and rehabilitation,2022,0.12574602383590572,3.687862264633491
34425090,Archives of physical medicine and rehabilitation,2022,0.22906673296070368,2.8020388551248274
34425087,Archives of physical medicine and rehabilitation,2022,0.24445278851356816,-3.2665108918299417
34425087,Archives of physical medicine and rehabilitation,2022,0.2678117664537443,-1.9701626596511144
34425087,Archives of physical medicine and rehabilitation,2022,0.2832772312028348,-2.518204109975522
34425087,Archives of physical medicine and rehabilitation,2022,0.2588333246415859,2.677967303938805
34348122,Archives of physical medicine and rehabilitation,2021,0.0024647731917696175,12.70090486741167
34348122,Archives of physical medicine and rehabilitation,2021,0.023697384411402136,7.098784806542265
34348122,Archives of physical medicine and rehabilitation,2021,0.08766345053566976,5.708326359039487
34348122,Archives of physical medicine and rehabilitation,2021,0.008433893433900035,22.336832073189978
34283993,Archives of physical medicine and rehabilitation,2021,0.14031794309165105,3.259916992512502
34283993,Archives of physical medicine and rehabilitation,2021,0.27750035014385055,2.7416391678041987
34242626,Archives of physical medicine and rehabilitation,2021,0.07436756345891495,5.452176853046522
34175271,Archives of physical medicine and rehabilitation,2021,0.0544831888515457,-0.9414517664763189
34175271,Archives of physical medicine and rehabilitation,2021,0.1879164011478786,-2.292417870186087
34175271,Archives of physical medicine and rehabilitation,2021,0.2337476356821824,-1.9766422802443673
33961831,Archives of physical medicine and rehabilitation,2021,0.12814156482093933,3.2160497759076145
33939973,Archives of physical medicine and rehabilitation,2021,0.4478040370043827,0.02222027947700415
33930327,Archives of physical medicine and rehabilitation,2021,0.3640602948061596,-2.7310099110732384
33930326,Archives of physical medicine and rehabilitation,2021,0.2524012746691627,1.4170865212176167
